	chr	start	end	name	score	strand
176	chrII	339166	339252	YBR046C	1	-
177	chrII	339399	339536	YBR047W	1	+
178	chrII	344486	344633	YBR049C	1	-
179	chrII	345900	346051	YBR050C	1	-
180	chrII	346908	347129	YBR052C	1	-
181	chrII	348407	348456	YBR053C	1	-
182	chrII	350411	350469	YBR054W	1	+
183	chrII	35080	35158	YBL107C	1	-
184	chrII	354961	354979	YBR055C	1	-
185	chrII	355420	355530	YBR056W	1	+
186	chrII	361350	361389	YBR057C	1	-
187	chrII	363966	364046	YBR058C	1	-
188	chrII	364513	364600	YBR058C-A	1	-
189	chrII	368244	368301	YBR059C	1	-
190	chrII	370504	370587	YBR060C	1	-
191	chrII	373673	373710	YBR061C	1	-
192	chrII	374529	374625	YBR062C	1	-
193	chrII	377660	377705	YBR065C	1	-
194	chrII	378665	378741	YBR066C	1	-
195	chrII	383729	383821	YBR068C	1	-
196	chrII	386526	386579	YBR069C	1	-
197	chrII	387964	388036	YBR070C	1	-
198	chrII	388208	388482	YBR071W	1	+
199	chrII	389814	390033	YBR072W	1	+
200	chrII	391094	391174	YBR073W	1	+
201	chrII	394268	394295	YBR074W	1	+
202	chrII	398074	398171	YBR076W	1	+
203	chrII	400274	400362	YBR077C	1	-
204	chrII	400890	401117	YBR078W	1	+
205	chrII	406310	406337	YBR079C	1	-
206	chrII	408887	408945	YBR080C	1	-
207	chrII	413409	413410	YBR081C	1	-
208	chrII	415187	415308	YBR082C	1	-
209	chrII	417103	417133	YBR083W	1	+
210	chrII	418982	419058	YBR084W	1	+
211	chrII	423893	423923	YBR085W	1	+
212	chrII	42500	42539	YBL105C	1	-
213	chrII	427061	427380	YBR085C-A	1	-
214	chrII	431312	431363	YBR086C	1	-
215	chrII	431736	431756	YBR087W	1	+
216	chrII	433799	433879	YBR088C	1	-
217	chrII	434450	434547	YBR089C-A	1	-
218	chrII	435489	435531	YBR091C	1	-
219	chrII	437111	437129	YBR092C	1	-
220	chrII	439967	440009	YBR094W	1	+
221	chrII	443717	443734	YBR095C	1	-
222	chrII	443925	443995	YBR096W	1	+
223	chrII	444878	444915	YBR097W	1	+
224	chrII	449461	449508	YBR098W	1	+
225	chrII	452642	452773	YBR101C	1	-
226	chrII	455351	455395	YBR102C	1	-
227	chrII	455511	455586	YBR103W	1	+
228	chrII	457540	457601	YBR104W	1	+
229	chrII	45859	45881	YBL104C	1	-
230	chrII	459972	460114	YBR105C	1	-
231	chrII	460541	460634	YBR106W	1	+
232	chrII	462547	462608	YBR107C	1	-
233	chrII	462739	462812	YBR108W	1	+
234	chrII	466464	466550	YBR109C	1	-
235	chrII	466902	466967	YBR110W	1	+
236	chrII	469938	470099	YBR111C	1	-
237	chrII	470205	470258	YBR111W-A	1	+
238	chrII	473931	473977	YBR112C	1	-
239	chrII	475148	475173	YBR114W	1	+
240	chrII	481947	482046	YBR115C	1	-
241	chrII	48338	48383	YBL103C	1	-
242	chrII	484471	484507	YBR117C	1	-
243	chrII	48553	48658	YBL102W	1	+
244	chrII	485536	485676	YBR118W	1	+
245	chrII	487267	487333	YBR119W	1	+
246	chrII	488980	489017	YBR120C	1	-
247	chrII	491409	491564	YBR121C	1	-
248	chrII	494703	494768	YBR123C	1	-
249	chrII	496484	496589	YBR125C	1	-
250	chrII	498456	498521	YBR126C	1	-
251	chrII	498839	498960	YBR126W-A	1	+
252	chrII	500862	500949	YBR127C	1	-
253	chrII	502147	502233	YBR128C	1	-
254	chrII	503367	503428	YBR129C	1	-
255	chrII	504925	504966	YBR130C	1	-
256	chrII	505138	505191	YBR131W	1	+
257	chrII	509593	509666	YBR132C	1	-
258	chrII	512446	512494	YBR133C	1	-
259	chrII	512792	512875	YBR135W	1	+
260	chrII	513671	513718	YBR136W	1	+
261	chrII	520967	521051	YBR137W	1	+
262	chrII	523421	523517	YBR138C	1	-
263	chrII	523671	523776	YBR139W	1	+
264	chrII	52741	52969	YBL101C	1	-
265	chrII	534973	535002	YBR140C	1	-
266	chrII	536107	536128	YBR141C	1	-
267	chrII	536304	536329	YBR142W	1	+
268	chrII	540268	540332	YBR143C	1	-
269	chrII	541702	541796	YBR145W	1	+
270	chrII	543245	543321	YBR146W	1	+
271	chrII	544488	544623	YBR147W	1	+
272	chrII	545876	545936	YBR148W	1	+
273	chrII	547992	548156	YBR149W	1	+
274	chrII	54906	55030	YBL099W	1	+
275	chrII	552585	552613	YBR150C	1	-
276	chrII	552954	553058	YBR151W	1	+
277	chrII	554395	554467	YBR152W	1	+
278	chrII	555474	555488	YBR153W	1	+
279	chrII	557180	557221	YBR154C	1	-
280	chrII	557762	557839	YBR155W	1	+
281	chrII	561300	561360	YBR156C	1	-
282	chrII	564363	564388	YBR158W	1	+
283	chrII	566690	566766	YBR159W	1	+
284	chrII	568009	568155	YBR160W	1	+
285	chrII	569627	569759	YBR161W	1	+
286	chrII	572684	572957	YBR162C	1	-
287	chrII	57315	57367	YBL098W	1	+
288	chrII	573258	573369	YBR162W-A	1	+
289	chrII	573701	573733	YBR163W	1	+
290	chrII	576568	576666	YBR164C	1	-
291	chrII	576837	576871	YBR165W	1	+
292	chrII	579300	579354	YBR166C	1	-
293	chrII	579946	580032	YBR167C	1	-
294	chrII	580318	580366	YBR168W	1	+
295	chrII	584088	584197	YBR169C	1	-
296	chrII	586160	586234	YBR170C	1	-
297	chrII	586384	586426	YBR171W	1	+
298	chrII	589504	589576	YBR172C	1	-
299	chrII	58986	58995	YBL097W	1	+
300	chrII	590251	590302	YBR173C	1	-
301	chrII	590444	590507	YBR175W	1	+
302	chrII	591660	591720	YBR176W	1	+
303	chrII	594213	594306	YBR177C	1	-
304	chrII	597209	597292	YBR179C	1	-
305	chrII	597744	597798	YBR180W	1	+
306	chrII	600872	600897	YBR181C	1	-
307	chrII	603095	603104	YBR182C	1	-
308	chrII	604076	604155	YBR183W	1	+
309	chrII	605372	605497	YBR184W	1	+
310	chrII	608043	608081	YBR185C	1	-
311	chrII	608530	608651	YBR186W	1	+
312	chrII	610564	610653	YBR187W	1	+
313	chrII	612196	612276	YBR188C	1	-
314	chrII	612523	612555	YBR189W	1	+
315	chrII	61458	61502	YBL095W	1	+
316	chrII	615512	615580	YBR192W	1	+
317	chrII	617821	617882	YBR193C	1	-
318	chrII	617964	618037	YBR194W	1	+
319	chrII	619953	619998	YBR195C	1	-
320	chrII	621976	622100	YBR196C	1	-
321	chrII	623923	623971	YBR197C	1	-
322	chrII	626630	626693	YBR198C	1	-
323	chrII	626870	626933	YBR199W	1	+
324	chrII	628875	628933	YBR200W	1	+
325	chrII	631488	631521	YBR201W	1	+
326	chrII	63186	63286	YBL093C	1	-
327	chrII	632720	632850	YBR201C-A	1	-
328	chrII	633698	633829	YBR202W	1	+
329	chrII	637191	637253	YBR203W	1	+
330	chrII	63733	63832	YBL092W	1	+
331	chrII	641460	641520	YBR204C	1	-
332	chrII	641625	641682	YBR205W	1	+
333	chrII	643082	643182	YBR207W	1	+
334	chrII	650415	650496	YBR208C	1	-
335	chrII	65365	65433	YBL091C-A	1	-
336	chrII	654006	654068	YBR210W	1	+
337	chrII	655697	655728	YBR211C	1	-
338	chrII	655916	656023	YBR212W	1	+
339	chrII	658735	658841	YBR213W	1	+
340	chrII	659783	659942	YBR214W	1	+
341	chrII	661785	661813	YBR215W	1	+
342	chrII	666108	666177	YBR216C	1	-
343	chrII	666238	666324	YBR217W	1	+
344	chrII	66851	66911	YBL091C	1	-
345	chrII	66974	67034	YBL090W	1	+
346	chrII	670759	670919	YBR218C	1	-
347	chrII	673208	673268	YBR220C	1	-
348	chrII	674902	674990	YBR221C	1	-
349	chrII	676869	676946	YBR222C	1	-
350	chrII	67750	67778	YBL089W	1	+
351	chrII	678790	678859	YBR223C	1	-
352	chrII	678943	679022	YBR225W	1	+
353	chrII	683663	683726	YBR227C	1	-
354	chrII	683803	683892	YBR228W	1	+
355	chrII	687728	687751	YBR229C	1	-
356	chrII	688436	688619	YBR230C	1	-
357	chrII	688804	688907	YBR230W-A	1	+
358	chrII	691585	691681	YBR231C	1	-
359	chrII	691745	691920	YBR233W	1	+
360	chrII	693403	693495	YBR233W-A	1	+
361	chrII	695095	695155	YBR234C	1	-
362	chrII	695321	695378	YBR235W	1	+
363	chrII	700218	700246	YBR236C	1	-
364	chrII	700412	700449	YBR237W	1	+
365	chrII	705898	705899	YBR238C	1	-
366	chrII	708583	708600	YBR239C	1	-
367	chrII	710315	710370	YBR240C	1	-
368	chrII	712555	712634	YBR241C	1	-
369	chrII	713156	713178	YBR242W	1	+
370	chrII	715309	715350	YBR243C	1	-
371	chrII	715950	715992	YBR244W	1	+
372	chrII	719877	719884	YBR245C	1	-
373	chrII	720037	720089	YBR246W	1	+
374	chrII	722951	723026	YBR247C	1	-
375	chrII	725015	725066	YBR248C	1	-
376	chrII	726502	726622	YBR249C	1	-
377	chrII	727415	727492	YBR250W	1	+
378	chrII	729789	729845	YBR251W	1	+
379	chrII	731041	731096	YBR252W	1	+
380	chrII	731686	731763	YBR253W	1	+
381	chrII	732748	732781	YBR254C	1	-
382	chrII	732878	732934	YBR255W	1	+
383	chrII	735560	735614	YBR255C-A	1	-
384	chrII	736555	736653	YBR256C	1	-
385	chrII	737310	737378	YBR257W	1	+
386	chrII	738628	738730	YBR258C	1	-
387	chrII	738779	738830	YBR259W	1	+
388	chrII	743120	743165	YBR260C	1	-
389	chrII	744019	744049	YBR261C	1	-
390	chrII	744518	744566	YBR262C	1	-
391	chrII	744641	744738	YBR263W	1	+
392	chrII	746976	747044	YBR265W	1	+
393	chrII	748291	748305	YBR267W	1	+
394	chrII	749747	749810	YBR268W	1	+
395	chrII	751035	751130	YBR269C	1	-
396	chrII	752884	752946	YBR270C	1	-
397	chrII	753293	753308	YBR271W	1	+
398	chrII	756278	756326	YBR272C	1	-
399	chrII	757857	757903	YBR273C	1	-
400	chrII	758000	758046	YBR274W	1	+
401	chrII	765678	765725	YBR275C	1	-
402	chrII	768594	768660	YBR276C	1	-
403	chrII	768710	768829	YBR278W	1	+
404	chrII	769671	769734	YBR279W	1	+
405	chrII	773142	773276	YBR280C	1	-
406	chrII	776113	776184	YBR281C	1	-
407	chrII	776688	776747	YBR282W	1	+
408	chrII	77763	77801	YBL088C	1	-
409	chrII	779039	779142	YBR283C	1	-
410	chrII	779723	779741	YBR284W	1	+
411	chrII	782402	782403	YBR285W	1	+
412	chrII	783170	783195	YBR286W	1	+
413	chrII	784978	785076	YBR287W	1	+
414	chrII	787972	788020	YBR288C	1	-
415	chrII	788122	788165	YBR289W	1	+
416	chrII	791092	791171	YBR290W	1	+
417	chrII	793159	793210	YBR291C	1	-
418	chrII	795240	795279	YBR293W	1	+
419	chrII	797657	797713	YBR294W	1	+
420	chrII	801322	801389	YBR295W	1	+
421	chrII	807133	807170	YBR296C	1	-
422	chrII	80799	80945	YBL086C	1	-
423	chrII	809024	809105	YBR297W	1	+
424	chrII	82025	82042	YBL085W	1	+
425	chrII	87666	87762	YBL084C	1	-
426	chrII	89311	89368	YBL082C	1	-
427	chrII	90026	90027	YBL081W	1	+
428	chrII	92897	92942	YBL080C	1	-
429	chrII	93373	93402	YBL079W	1	+
430	chrII	98875	99000	YBL078C	1	-
431	chrIII	101176	101213	YCL008C	1	-
432	chrIII	102255	102344	YCL005W	1	+
433	chrIII	103296	103429	YCL004W	1	+
434	chrIII	106031	106089	YCL002C	1	-
435	chrIII	106139	106245	YCL001W	1	+
436	chrIII	112712	112739	YCR002C	1	-
437	chrIII	112914	112924	YCR003W	1	+
438	chrIII	114638	114682	YCR004C	1	-
439	chrIII	116389	116827	YCR005C	1	-
440	chrIII	120743	120772	YCR007C	1	-
441	chrIII	121982	122091	YCR008W	1	+
442	chrIII	125540	125633	YCR009C	1	-
443	chrIII	126920	127320	YCR010C	1	-
444	chrIII	130933	131032	YCR011C	1	-
445	chrIII	131609	131736	YCR012W	1	+
446	chrIII	134921	134971	YCR014C	1	-
447	chrIII	13545	13616	YCL067C	1	-
448	chrIII	136168	136199	YCR015C	1	-
449	chrIII	137698	137708	YCR016W	1	+
450	chrIII	13806	13828	YCL066W	1	+
451	chrIII	141757	141796	YCR017C	1	-
452	chrIII	152770	152891	YCR019W	1	+
453	chrIII	154789	154820	YCR020C	1	-
454	chrIII	155366	155437	YCR020W-B	1	+
455	chrIII	157237	157339	YCR021C	1	-
456	chrIII	160544	160594	YCR023C	1	-
457	chrIII	162361	162375	YCR024C	1	-
458	chrIII	166510	166547	YCR026C	1	-
459	chrIII	168290	168337	YCR027C	1	-
460	chrIII	171563	171641	YCR028C	1	-
461	chrIII	172549	172647	YCR028C-A	1	-
462	chrIII	17451	17545	YCL064C	1	-
463	chrIII	17791	17849	YCL063W	1	+
464	chrIII	191289	191335	YCR033W	1	+
465	chrIII	195562	195626	YCR034W	1	+
466	chrIII	198058	198090	YCR035C	1	-
467	chrIII	198274	198394	YCR036W	1	+
468	chrIII	202249	202282	YCR037C	1	-
469	chrIII	210342	210365	YCR042C	1	-
470	chrIII	211792	211853	YCR043C	1	-
471	chrIII	213091	213117	YCR044C	1	-
472	chrIII	214776	214824	YCR045C	1	-
473	chrIII	215567	215617	YCR046C	1	-
474	chrIII	216769	216860	YCR047C	1	-
475	chrIII	217045	217081	YCR048W	1	+
476	chrIII	219179	219232	YCR051W	1	+
477	chrIII	220063	220140	YCR052W	1	+
478	chrIII	221739	221810	YCR053W	1	+
479	chrIII	225229	225335	YCR054C	1	-
480	chrIII	22691	22742	YCL061C	1	-
481	chrIII	229381	229410	YCR059C	1	-
482	chrIII	229502	229612	YCR060W	1	+
483	chrIII	230640	230726	YCR061W	1	+
484	chrIII	233769	233837	YCR063W	1	+
485	chrIII	234558	234663	YCR065W	1	+
486	chrIII	236919	236957	YCR066W	1	+
487	chrIII	23953	24014	YCL059C	1	-
488	chrIII	24111	24145	YCL058W-A	1	+
489	chrIII	241982	242036	YCR067C	1	-
490	chrIII	242620	242667	YCR068W	1	+
491	chrIII	244456	244567	YCR069W	1	+
492	chrIII	246129	246173	YCR071C	1	-
493	chrIII	247951	247961	YCR072C	1	-
494	chrIII	24894	24957	YCL057C-A	1	-
495	chrIII	252167	252230	YCR073C	1	-
496	chrIII	252500	252565	YCR073W-A	1	+
497	chrIII	25280	25396	YCL057W	1	+
498	chrIII	254404	254440	YCR075C	1	-
499	chrIII	254516	254578	YCR075W-A	1	+
500	chrIII	255598	255662	YCR076C	1	-
501	chrIII	258213	258260	YCR077C	1	-
502	chrIII	258340	258416	YCR079W	1	+
503	chrIII	259908	259929	YCR081W	1	+
504	chrIII	264401	264466	YCR082W	1	+
505	chrIII	265101	265150	YCR083W	1	+
506	chrIII	268216	268303	YCR084C	1	-
507	chrIII	268877	268965	YCR086W	1	+
508	chrIII	270087	270098	YCR087C-A	1	-
509	chrIII	270596	270639	YCR088W	1	+
510	chrIII	272714	272739	YCR089W	1	+
511	chrIII	27904	27986	YCL056C	1	-
512	chrIII	279194	279240	YCR090C	1	-
513	chrIII	280608	280694	YCR091W	1	+
514	chrIII	28438	28516	YCL055W	1	+
515	chrIII	286354	286418	YCR093W	1	+
516	chrIII	293016	293068	YCR094W	1	+
517	chrIII	295615	295635	YCR095C	1	-
518	chrIII	31998	32002	YCL054W	1	+
519	chrIII	320827	320840	YPR196W	1	+
520	chrIII	331842	331874	YGR295C	1	-
521	chrIII	35963	36037	YCL052C	1	-
522	chrIII	36125	36155	YCL051W	1	+
523	chrIII	39384	39485	YCL050C	1	-
524	chrIII	41311	41401	YCL049C	1	-
525	chrIII	41920	42128	YCL048W-A	1	+
526	chrIII	42686	42728	YCL048W	1	+
527	chrIII	45042	45072	YCL047C	1	-
528	chrIII	47518	47585	YCL045C	1	-
529	chrIII	48934	49057	YCL044C	1	-
530	chrIII	50867	50961	YCL043C	1	-
531	chrIII	51400	51509	YCL040W	1	+
532	chrIII	53228	53297	YCL039W	1	+
533	chrIII	57200	57255	YCL038C	1	-
534	chrIII	59373	59374	YCL037C	1	-
535	chrIII	61814	61892	YCL035C	1	-
536	chrIII	62221	62281	YCL034W	1	+
537	chrIII	63827	63961	YCL033C	1	-
538	chrIII	63996	64072	YCL032W	1	+
539	chrIII	66208	66263	YCL031C	1	-
540	chrIII	69009	69077	YCL030C	1	-
541	chrIII	70588	70637	YCL029C	1	-
542	chrIII	70712	70756	YCL028W	1	+
543	chrIII	74648	74717	YCL026C-B	1	-
544	chrIII	75941	76073	YCL026C-A	1	-
545	chrIII	78530	78624	YCL025C	1	-
546	chrIII	79727	79738	YCL024W	1	+
547	chrIII	83795	83932	YCL021W-A	1	+
548	chrIII	85561	85668	YCL018W	1	+
549	chrIII	88616	88707	YCL017C	1	-
550	chrIII	90111	90130	YCL016C	1	-
551	chrIII	90479	90501	YCL014W	1	+
552	chrIII	96109	96196	YCL012C	1	-
553	chrIII	97667	97731	YCL011C	1	-
554	chrIII	98685	98742	YCL010C	1	-
555	chrIII	99826	99942	YCL009C	1	-
556	chrIV	1002366	1002400	YDR283C	1	-
557	chrIV	1003659	1003847	YDR284C	1	-
558	chrIV	1004362	1004478	YDR285W	1	+
559	chrIV	1007674	1007690	YDR286C	1	-
560	chrIV	100799	100840	YDL209C	1	-
561	chrIV	1008005	1008093	YDR287W	1	+
562	chrIV	1009239	1009291	YDR288W	1	+
563	chrIV	101023	101070	YDL208W	1	+
564	chrIV	1011575	1011689	YDR289C	1	-
565	chrIV	1011780	1011808	YDR291W	1	+
566	chrIV	1017222	1017267	YDR292C	1	-
567	chrIV	101770	101830	YDL207W	1	+
568	chrIV	1021535	1021539	YDR293C	1	-
569	chrIV	1024330	1024412	YDR294C	1	-
570	chrIV	1026995	1027003	YDR295C	1	-
571	chrIV	1027224	1027274	YDR296W	1	+
572	chrIV	1028448	1028607	YDR297W	1	+
573	chrIV	1030990	1031070	YDR298C	1	-
574	chrIV	1034880	1034951	YDR300C	1	-
575	chrIV	1035352	1035385	YDR301W	1	+
576	chrIV	103579	103631	YDL206W	1	+
577	chrIV	1039705	1039787	YDR302W	1	+
578	chrIV	1043573	1043577	YDR303C	1	-
579	chrIV	1044636	1044723	YDR304C	1	-
580	chrIV	1047242	1047317	YDR306C	1	-
581	chrIV	1047882	1047930	YDR307W	1	+
582	chrIV	1050540	1050633	YDR308C	1	-
583	chrIV	1052323	1052454	YDR309C	1	-
584	chrIV	1056642	1056666	YDR310C	1	-
585	chrIV	1057060	1057102	YDR311W	1	+
586	chrIV	1059552	1059595	YDR312W	1	+
587	chrIV	1062132	1062225	YDR313C	1	-
588	chrIV	1064566	1064648	YDR314C	1	-
589	chrIV	1065629	1065679	YDR315C	1	-
590	chrIV	1065771	1065805	YDR316W	1	+
591	chrIV	1069648	1069703	YDR317W	1	+
592	chrIV	1071203	1071281	YDR318W	1	+
593	chrIV	1073353	1073441	YDR319C	1	-
594	chrIV	107470	107554	YDL205C	1	-
595	chrIV	1075627	1075697	YDR320C	1	-
596	chrIV	1076175	1076226	YDR321W	1	+
597	chrIV	1078076	1078105	YDR322W	1	+
598	chrIV	1079726	1079861	YDR322C-A	1	-
599	chrIV	108097	108179	YDL204W	1	+
600	chrIV	1081511	1081570	YDR323C	1	-
601	chrIV	1084604	1084622	YDR325W	1	+
602	chrIV	1092621	1092657	YDR326C	1	-
603	chrIV	1093541	1093623	YDR328C	1	-
604	chrIV	1095108	1095146	YDR329C	1	-
605	chrIV	1095309	1095377	YDR330W	1	+
606	chrIV	1097049	1097101	YDR331W	1	+
607	chrIV	1098485	1098517	YDR332W	1	+
608	chrIV	1102950	1102993	YDR333C	1	-
609	chrIV	1103220	1103313	YDR334W	1	+
610	chrIV	1108301	1108342	YDR335W	1	+
611	chrIV	1112543	1112600	YDR336W	1	+
612	chrIV	1113741	1113800	YDR337W	1	+
613	chrIV	111694	111738	YDL203C	1	-
614	chrIV	1117026	1117045	YDR338C	1	-
615	chrIV	1118036	1118080	YDR339C	1	-
616	chrIV	111978	112028	YDL202W	1	+
617	chrIV	1127163	1127238	YDR341C	1	-
