genes,coordinates
YBR059C,chrII:368244-368300:-
YBR060C,chrII:370504-370586:-
YBR061C,chrII:373673-373709:-
YBR062C,chrII:374529-374624:-
YBR065C,chrII:377660-377704:-
YBR066C,chrII:378665-378740:-
YBR068C,chrII:383729-383820:-
YBR069C,chrII:386526-386578:-
YBR070C,chrII:387964-388035:-
YBR071W,chrII:388208-388481:+
YBR072W,chrII:389814-390032:+
YBR073W,chrII:391094-391173:+
YBR074W,chrII:394268-394294:+
YBR076W,chrII:398074-398170:+
YBR077C,chrII:400274-400361:-
YBR078W,chrII:400890-401116:+
YBR079C,chrII:406310-406336:-
YBR080C,chrII:408887-408944:-
YBR081C,chrII:413409:-
YBR082C,chrII:415187-415307:-
YBR083W,chrII:417103-417132:+
YBR084W,chrII:418982-419057:+
YBR085W,chrII:423893-423922:+
YBL105C,chrII:42500-42538:-
YBR085C-A,chrII:427061-427379:-
YBR086C,chrII:431312-431362:-
YBR087W,chrII:431736-431755:+
YBR088C,chrII:433799-433878:-
YBR089C-A,chrII:434450-434546:-
YBR091C,chrII:435489-435530:-
YBR092C,chrII:437111-437128:-
YBR094W,chrII:439967-440008:+
YBR095C,chrII:443717-443733:-
YBR096W,chrII:443925-443994:+
YBR097W,chrII:444878-444914:+
YBR098W,chrII:449461-449507:+
YBR101C,chrII:452642-452772:-
YBR102C,chrII:455351-455394:-
YBR103W,chrII:455511-455585:+
YBR104W,chrII:457540-457600:+
YBL104C,chrII:45859-45880:-
YBR105C,chrII:459972-460113:-
YBR106W,chrII:460541-460633:+
YBR107C,chrII:462547-462607:-
YBR108W,chrII:462739-462811:+
YBR109C,chrII:466464-466549:-
YBR110W,chrII:466902-466966:+
YBR111C,chrII:469938-470098:-
YBR111W-A,chrII:470205-470257:+
YBR112C,chrII:473931-473976:-
YBR114W,chrII:475148-475172:+
YBR115C,chrII:481947-482045:-
YBL103C,chrII:48338-48382:-
YBR117C,chrII:484471-484506:-
YBL102W,chrII:48553-48657:+
YBR118W,chrII:485536-485675:+
YBR119W,chrII:487267-487332:+
YBR120C,chrII:488980-489016:-
YBR121C,chrII:491409-491563:-
YBR123C,chrII:494703-494767:-
YBR125C,chrII:496484-496588:-
YBR126C,chrII:498456-498520:-
YBR126W-A,chrII:498839-498959:+
YBR127C,chrII:500862-500948:-
YBR128C,chrII:502147-502232:-
YBR129C,chrII:503367-503427:-
YBR130C,chrII:504925-504965:-
YBR131W,chrII:505138-505190:+
YBR132C,chrII:509593-509665:-
YBR133C,chrII:512446-512493:-
YBR135W,chrII:512792-512874:+
YBR136W,chrII:513671-513717:+
YBR137W,chrII:520967-521050:+
YBR138C,chrII:523421-523516:-
YBR139W,chrII:523671-523775:+
YBL101C,chrII:52741-52968:-
YBR140C,chrII:534973-535001:-
YBR141C,chrII:536107-536127:-
YBR142W,chrII:536304-536328:+
YBR143C,chrII:540268-540331:-
YBR145W,chrII:541702-541795:+
YBR146W,chrII:543245-543320:+
YBR147W,chrII:544488-544622:+
YBR148W,chrII:545876-545935:+
YBR149W,chrII:547992-548155:+
YBL099W,chrII:54906-55029:+
YBR150C,chrII:552585-552612:-
YBR151W,chrII:552954-553057:+
YBR152W,chrII:554395-554466:+
YBR153W,chrII:555474-555487:+
YBR154C,chrII:557180-557220:-
YBR155W,chrII:557762-557838:+
YBR156C,chrII:561300-561359:-
YBR158W,chrII:564363-564387:+
YBR159W,chrII:566690-566765:+
YBR160W,chrII:568009-568154:+
YBR161W,chrII:569627-569758:+
YBR162C,chrII:572684-572956:-
YBL098W,chrII:57315-57366:+
YBR162W-A,chrII:573258-573368:+
YBR163W,chrII:573701-573732:+
YBR164C,chrII:576568-576665:-
YBR165W,chrII:576837-576870:+
YBR166C,chrII:579300-579353:-
YBR167C,chrII:579946-580031:-
YBR168W,chrII:580318-580365:+
YBR169C,chrII:584088-584196:-
YBR170C,chrII:586160-586233:-
YBR171W,chrII:586384-586425:+
YBR172C,chrII:589504-589575:-
YBL097W,chrII:58986-58994:+
YBR173C,chrII:590251-590301:-
YBR175W,chrII:590444-590506:+
YBR176W,chrII:591660-591719:+
YBR177C,chrII:594213-594305:-
YBR179C,chrII:597209-597291:-
YBR180W,chrII:597744-597797:+
YBR181C,chrII:600872-600896:-
YBR182C,chrII:603095-603103:-
YBR183W,chrII:604076-604154:+
YBR184W,chrII:605372-605496:+
YBR185C,chrII:608043-608080:-
YBR186W,chrII:608530-608650:+
YBR187W,chrII:610564-610652:+
YBR188C,chrII:612196-612275:-
YBR189W,chrII:612523-612554:+
YBL095W,chrII:61458-61501:+
YBR192W,chrII:615512-615579:+
YBR193C,chrII:617821-617881:-
YBR194W,chrII:617964-618036:+
YBR195C,chrII:619953-619997:-
YBR196C,chrII:621976-622099:-
YBR197C,chrII:623923-623970:-
YBR198C,chrII:626630-626692:-
YBR199W,chrII:626870-626932:+
YBR200W,chrII:628875-628932:+
YBR201W,chrII:631488-631520:+
YBL093C,chrII:63186-63285:-
YBR201C-A,chrII:632720-632849:-
YBR202W,chrII:633698-633828:+
YBR203W,chrII:637191-637252:+
YBL092W,chrII:63733-63831:+
YBR204C,chrII:641460-641519:-
YBR205W,chrII:641625-641681:+
YBR207W,chrII:643082-643181:+
YBR208C,chrII:650415-650495:-
YBL091C-A,chrII:65365-65432:-
YBR210W,chrII:654006-654067:+
YBR211C,chrII:655697-655727:-
YBR212W,chrII:655916-656022:+
YBR213W,chrII:658735-658840:+
YBR214W,chrII:659783-659941:+
YBR215W,chrII:661785-661812:+
YBR216C,chrII:666108-666176:-
YBR217W,chrII:666238-666323:+
YBL091C,chrII:66851-66910:-
YBL090W,chrII:66974-67033:+
YBR218C,chrII:670759-670918:-
YBR220C,chrII:673208-673267:-
YBR221C,chrII:674902-674989:-
YBR222C,chrII:676869-676945:-
YBL089W,chrII:67750-67777:+
YBR223C,chrII:678790-678858:-
YBR225W,chrII:678943-679021:+
YBR227C,chrII:683663-683725:-
YBR228W,chrII:683803-683891:+
YBR229C,chrII:687728-687750:-
YBR230C,chrII:688436-688618:-
YBR230W-A,chrII:688804-688906:+
YBR231C,chrII:691585-691680:-
YBR233W,chrII:691745-691919:+
YBR233W-A,chrII:693403-693494:+
YBR234C,chrII:695095-695154:-
YBR235W,chrII:695321-695377:+
YBR236C,chrII:700218-700245:-
YBR237W,chrII:700412-700448:+
YBR238C,chrII:705898:-
YBR239C,chrII:708583-708599:-
YBR240C,chrII:710315-710369:-
YBR241C,chrII:712555-712633:-
YBR242W,chrII:713156-713177:+
YBR243C,chrII:715309-715349:-
YBR244W,chrII:715950-715991:+
YBR245C,chrII:719877-719883:-
YBR246W,chrII:720037-720088:+
YBR247C,chrII:722951-723025:-
YBR248C,chrII:725015-725065:-
YBR249C,chrII:726502-726621:-
YBR250W,chrII:727415-727491:+
YBR251W,chrII:729789-729844:+
YBR252W,chrII:731041-731095:+
YBR253W,chrII:731686-731762:+
YBR254C,chrII:732748-732780:-
YBR255W,chrII:732878-732933:+
YBR255C-A,chrII:735560-735613:-
YBR256C,chrII:736555-736652:-
YBR257W,chrII:737310-737377:+
YBR258C,chrII:738628-738729:-
YBR259W,chrII:738779-738829:+
YBR260C,chrII:743120-743164:-
YBR261C,chrII:744019-744048:-
YBR262C,chrII:744518-744565:-
YBR263W,chrII:744641-744737:+
YBR265W,chrII:746976-747043:+
YBR267W,chrII:748291-748304:+
YBR268W,chrII:749747-749809:+
YBR269C,chrII:751035-751129:-
YBR270C,chrII:752884-752945:-
YBR271W,chrII:753293-753307:+
YBR272C,chrII:756278-756325:-
YBR273C,chrII:757857-757902:-
YBR274W,chrII:758000-758045:+
YBR275C,chrII:765678-765724:-
YBR276C,chrII:768594-768659:-
YBR278W,chrII:768710-768828:+
YBR279W,chrII:769671-769733:+
YBR280C,chrII:773142-773275:-
YBR281C,chrII:776113-776183:-
YBR282W,chrII:776688-776746:+
YBL088C,chrII:77763-77800:-
YBR283C,chrII:779039-779141:-
YBR284W,chrII:779723-779740:+
YBR285W,chrII:782402:+
YBR286W,chrII:783170-783194:+
YBR287W,chrII:784978-785075:+
YBR288C,chrII:787972-788019:-
YBR289W,chrII:788122-788164:+
YBR290W,chrII:791092-791170:+
YBR291C,chrII:793159-793209:-
YBR293W,chrII:795240-795278:+
YBR294W,chrII:797657-797712:+
YBR295W,chrII:801322-801388:+
YBR296C,chrII:807133-807169:-
YBL086C,chrII:80799-80944:-
YBR297W,chrII:809024-809104:+
YBL085W,chrII:82025-82041:+
YBL084C,chrII:87666-87761:-
YBL082C,chrII:89311-89367:-
YBL081W,chrII:90026:+
YBL080C,chrII:92897-92941:-
YBL079W,chrII:93373-93401:+
YBL078C,chrII:98875-98999:-
YCL008C,chrIII:101176-101212:-
YCL005W,chrIII:102255-102343:+
YCL004W,chrIII:103296-103428:+
YCL002C,chrIII:106031-106088:-
YCL001W,chrIII:106139-106244:+
YCR002C,chrIII:112712-112738:-
YCR003W,chrIII:112914-112923:+
YCR004C,chrIII:114638-114681:-
YCR005C,chrIII:116389-116826:-
YCR007C,chrIII:120743-120771:-
YCR008W,chrIII:121982-122090:+
YCR009C,chrIII:125540-125632:-
YCR010C,chrIII:126920-127319:-
YCR011C,chrIII:130933-131031:-
YCR012W,chrIII:131609-131735:+
YCR014C,chrIII:134921-134970:-
YCL067C,chrIII:13545-13615:-
YCR015C,chrIII:136168-136198:-
YCR016W,chrIII:137698-137707:+
YCL066W,chrIII:13806-13827:+
YCR017C,chrIII:141757-141795:-
YCR019W,chrIII:152770-152890:+
YCR020C,chrIII:154789-154819:-
YCR020W-B,chrIII:155366-155436:+
YCR021C,chrIII:157237-157338:-
YCR023C,chrIII:160544-160593:-
YCR024C,chrIII:162361-162374:-
YCR026C,chrIII:166510-166546:-
YCR027C,chrIII:168290-168336:-
YCR028C,chrIII:171563-171640:-
YCR028C-A,chrIII:172549-172646:-
YCL064C,chrIII:17451-17544:-
YCL063W,chrIII:17791-17848:+
YCR033W,chrIII:191289-191334:+
YCR034W,chrIII:195562-195625:+
YCR035C,chrIII:198058-198089:-
YCR036W,chrIII:198274-198393:+
YCR037C,chrIII:202249-202281:-
YCR042C,chrIII:210342-210364:-
YCR043C,chrIII:211792-211852:-
YCR044C,chrIII:213091-213116:-
YCR045C,chrIII:214776-214823:-
YCR046C,chrIII:215567-215616:-
YCR047C,chrIII:216769-216859:-
YCR048W,chrIII:217045-217080:+
YCR051W,chrIII:219179-219231:+
YCR052W,chrIII:220063-220139:+
YCR053W,chrIII:221739-221809:+
YCR054C,chrIII:225229-225334:-
YCL061C,chrIII:22691-22741:-
YCR059C,chrIII:229381-229409:-
YCR060W,chrIII:229502-229611:+
YCR061W,chrIII:230640-230725:+
YCR063W,chrIII:233769-233836:+
YCR065W,chrIII:234558-234662:+
YCR066W,chrIII:236919-236956:+
YCL059C,chrIII:23953-24013:-
YCL058W-A,chrIII:24111-24144:+
YCR067C,chrIII:241982-242035:-
YCR068W,chrIII:242620-242666:+
YCR069W,chrIII:244456-244566:+
YCR071C,chrIII:246129-246172:-
YCR072C,chrIII:247951-247960:-
YCL057C-A,chrIII:24894-24956:-
YCR073C,chrIII:252167-252229:-
YCR073W-A,chrIII:252500-252564:+
YCL057W,chrIII:25280-25395:+
YCR075C,chrIII:254404-254439:-
YCR075W-A,chrIII:254516-254577:+
YCR076C,chrIII:255598-255661:-
YCR077C,chrIII:258213-258259:-
YCR079W,chrIII:258340-258415:+
YCR081W,chrIII:259908-259928:+
YCR082W,chrIII:264401-264465:+
YCR083W,chrIII:265101-265149:+
YCR084C,chrIII:268216-268302:-
YCR086W,chrIII:268877-268964:+
YCR087C-A,chrIII:270087-270097:-
YCR088W,chrIII:270596-270638:+
YCR089W,chrIII:272714-272738:+
YCL056C,chrIII:27904-27985:-
YCR090C,chrIII:279194-279239:-
YCR091W,chrIII:280608-280693:+
YCL055W,chrIII:28438-28515:+
YCR093W,chrIII:286354-286417:+
YCR094W,chrIII:293016-293067:+
YCR095C,chrIII:295615-295634:-
YCL054W,chrIII:31998-32001:+
YPR196W,chrIII:320827-320839:+
YGR295C,chrIII:331842-331873:-
YCL052C,chrIII:35963-36036:-
YCL051W,chrIII:36125-36154:+
YCL050C,chrIII:39384-39484:-
YCL049C,chrIII:41311-41400:-
YCL048W-A,chrIII:41920-42127:+
YCL048W,chrIII:42686-42727:+
YCL047C,chrIII:45042-45071:-
YCL045C,chrIII:47518-47584:-
YCL044C,chrIII:48934-49056:-
YCL043C,chrIII:50867-50960:-
YCL040W,chrIII:51400-51508:+
YCL039W,chrIII:53228-53296:+
YCL038C,chrIII:57200-57254:-
YCL037C,chrIII:59373:-
YCL035C,chrIII:61814-61891:-
YCL034W,chrIII:62221-62280:+
YCL033C,chrIII:63827-63960:-
YCL032W,chrIII:63996-64071:+
YCL031C,chrIII:66208-66262:-
YCL030C,chrIII:69009-69076:-
YCL029C,chrIII:70588-70636:-
YCL028W,chrIII:70712-70755:+
YCL026C-B,chrIII:74648-74716:-
YCL026C-A,chrIII:75941-76072:-
YCL025C,chrIII:78530-78623:-
YCL024W,chrIII:79727-79737:+
YCL021W-A,chrIII:83795-83931:+
YCL018W,chrIII:85561-85667:+
YCL017C,chrIII:88616-88706:-
YCL016C,chrIII:90111-90129:-
YCL014W,chrIII:90479-90500:+
YCL012C,chrIII:96109-96195:-
YCL011C,chrIII:97667-97730:-
YCL010C,chrIII:98685-98741:-
YCL009C,chrIII:99826-99941:-
YDR283C,chrIV:1002366-1002399:-
YDR284C,chrIV:1003659-1003846:-
YDR285W,chrIV:1004362-1004477:+
YDR286C,chrIV:1007674-1007689:-
YDL209C,chrIV:100799-100839:-
YDR287W,chrIV:1008005-1008092:+
YDR288W,chrIV:1009239-1009290:+
YDL208W,chrIV:101023-101069:+
YDR289C,chrIV:1011575-1011688:-
YDR291W,chrIV:1011780-1011807:+
YDR292C,chrIV:1017222-1017266:-
YDL207W,chrIV:101770-101829:+
YDR293C,chrIV:1021535-1021538:-
YDR294C,chrIV:1024330-1024411:-
YDR295C,chrIV:1026995-1027002:-
YDR296W,chrIV:1027224-1027273:+
YDR297W,chrIV:1028448-1028606:+
YDR298C,chrIV:1030990-1031069:-
YDR300C,chrIV:1034880-1034950:-
YDR301W,chrIV:1035352-1035384:+
YDL206W,chrIV:103579-103630:+
YDR302W,chrIV:1039705-1039786:+
YDR303C,chrIV:1043573-1043576:-
YDR304C,chrIV:1044636-1044722:-
YDR306C,chrIV:1047242-1047316:-
YDR307W,chrIV:1047882-1047929:+
YDR308C,chrIV:1050540-1050632:-
YDR309C,chrIV:1052323-1052453:-
YDR310C,chrIV:1056642-1056665:-
YDR311W,chrIV:1057060-1057101:+
YDR312W,chrIV:1059552-1059594:+
YDR313C,chrIV:1062132-1062224:-
YDR314C,chrIV:1064566-1064647:-
YDR315C,chrIV:1065629-1065678:-
YDR316W,chrIV:1065771-1065804:+
YDR317W,chrIV:1069648-1069702:+
YDR318W,chrIV:1071203-1071280:+
YDR319C,chrIV:1073353-1073440:-
YDL205C,chrIV:107470-107553:-
YDR320C,chrIV:1075627-1075696:-
YDR321W,chrIV:1076175-1076225:+
YDR322W,chrIV:1078076-1078104:+
YDR322C-A,chrIV:1079726-1079860:-
YDL204W,chrIV:108097-108178:+
YDR323C,chrIV:1081511-1081569:-
YDR325W,chrIV:1084604-1084621:+
YDR326C,chrIV:1092621-1092656:-
YDR328C,chrIV:1093541-1093622:-
YDR329C,chrIV:1095108-1095145:-
YDR330W,chrIV:1095309-1095376:+
YDR331W,chrIV:1097049-1097100:+
YDR332W,chrIV:1098485-1098516:+
YDR333C,chrIV:1102950-1102992:-
YDR334W,chrIV:1103220-1103312:+
YDR335W,chrIV:1108301-1108341:+
YDR336W,chrIV:1112543-1112599:+
YDR337W,chrIV:1113741-1113799:+
YDL203C,chrIV:111694-111737:-
YDR338C,chrIV:1117026-1117044:-
YDR339C,chrIV:1118036-1118079:-
YDL202W,chrIV:111978-112027:+
YDR341C,chrIV:1127163-1127237:-
YDL201W,chrIV:113029-113115:+
YDR345C,chrIV:1132841-1132849:-
YDR346C,chrIV:1136867-1137019:-
YDR347W,chrIV:1137198-1137254:+
YDR348C,chrIV:1140107-1140211:-
YDR349C,chrIV:1142353-1142437:-
YDL200C,chrIV:114627-114687:-
YDR350C,chrIV:1146340-1146377:-
YDR351W,chrIV:1146546-1146583:+
YDR352W,chrIV:1149710-1149771:+
YDR353W,chrIV:1151329-1151418:+
YDR354W,chrIV:1152741-1152813:+
YDR356W,chrIV:1154175-1154234:+
YDR357C,chrIV:1157691-1157731:-
YDR358W,chrIV:1158117-1158201:+
YDR359C,chrIV:1163285-1163352:-
YDR361C,chrIV:1164424-1164441:-
YDR362C,chrIV:1166908-1166957:-
YDR363W,chrIV:1167124-1167180:+
YDL199C,chrIV:116913-117006:-
YDR363W-A,chrIV:1170225-1170270:+
YDR364C,chrIV:1172327-1172381:-
YDR365C,chrIV:1174583-1174605:-
YDR367W,chrIV:1174952-1175039:+
YDR368W,chrIV:1176010-1176118:+
YDR369C,chrIV:1179806-1179851:-
YDL198C,chrIV:118125-118290:-
YDR370C,chrIV:1181319-1181335:-
YDR371W,chrIV:1181565-1181603:+
YDR372C,chrIV:1184612-1184702:-
YDR373W,chrIV:1184861-1184941:+
YDR374C,chrIV:1186638-1186753:-
YDR374W-A,chrIV:1186928-1187016:+
YDR375C,chrIV:1188697-1188787:-
YDR376W,chrIV:1188904-1188991:+
YDR377W,chrIV:1190718-1190899:+
YDR378C,chrIV:1191797-1191854:-
YDR379W,chrIV:1192239-1192329:+
YDR379C-A,chrIV:1195563-1195967:-
YDR380W,chrIV:1196260-1196405:+
YDL197C,chrIV:120082-120111:-
YDR381C-A,chrIV:1201059-1201063:-
YDR382W,chrIV:1201564-1201617:+
YDR383C,chrIV:1202847-1202906:-
YDR384C,chrIV:1204226-1204391:-
YDR385W,chrIV:1205301-1205389:+
YDL195W,chrIV:120635-120705:+
YDR386W,chrIV:1208240-1208270:+
YDR387C,chrIV:1212099-1212151:-
YDR388W,chrIV:1212309-1212372:+
YDR389W,chrIV:1214456:+
YDR390C,chrIV:1219015-1219071:-
YDR391C,chrIV:1220213-1220265:-
YDR392W,chrIV:1220757-1220824:+
YDR393W,chrIV:1221974-1222032:+
YDR394W,chrIV:1223695-1223831:+
YDR395W,chrIV:1225329-1225374:+
YDR397C,chrIV:1229057-1229143:-
YDR398W,chrIV:1229554-1229594:+
YDR399W,chrIV:1232136-1232234:+
YDR400W,chrIV:1233133-1233201:+
YDR404C,chrIV:1239471-1239534:-
YDR405W,chrIV:1239723-1239797:+
YDR406W,chrIV:1241229-1241257:+
YDL194W,chrIV:124930-124949:+
YDR407C,chrIV:1250181-1250220:-
YDR408C,chrIV:1251063-1251115:-
YDR409W,chrIV:1251535:+
YDR410C,chrIV:1255310-1255340:-
YDR411C,chrIV:1256579-1256638:-
YDR412W,chrIV:1256790-1256839:+
YDR414C,chrIV:1259037-1259078:-
YDR415C,chrIV:1260357-1260407:-
YDR416W,chrIV:1260513-1260546:+
YDR418W,chrIV:1263712-1263783:+
YDR419W,chrIV:1265304-1265351:+
YDR420W,chrIV:1268140-1268189:+
YDR421W,chrIV:1273576-1273627:+
YDR422C,chrIV:1279448-1279533:-
YDL193W,chrIV:128149-128303:+
YDR424C,chrIV:1281494-1281536:-
YDR425W,chrIV:1281600-1281662:+
YDR427W,chrIV:1283779-1283824:+
YDR428C,chrIV:1285856-1285927:-
YDR429C,chrIV:1286939-1286969:-
YDR430C,chrIV:1290155-1290183:-
YDR432W,chrIV:1290371-1290436:+
YDR434W,chrIV:1292729-1292824:+
YDR435C,chrIV:1295573-1295638:-
YDR436W,chrIV:1296336-1296339:+
YDL192W,chrIV:129806-129914:+
YDR437W,chrIV:1298920-1298959:+
YDR438W,chrIV:1299854-1299919:+
YDR439W,chrIV:1301202-1301266:+
YDR440W,chrIV:1304041-1304090:+
YDR441C,chrIV:1306806-1306891:-
YDR443C,chrIV:1311613-1311670:-
YDR444W,chrIV:1311852-1311883:+
YDL191W,chrIV:131218-131263:+
YDR446W,chrIV:1314969-1315066:+
YDR448W,chrIV:1317266-1317346:+
YDR449C,chrIV:1320242-1320254:-
YDR450W,chrIV:1321140-1321219:+
YDR451C,chrIV:1323524-1323557:-
YDR452W,chrIV:1324021-1324081:+
YDR453C,chrIV:1327035-1327159:-
YDR454C,chrIV:1328142-1328207:-
YDR456W,chrIV:1328707-1328786:+
YDR457W,chrIV:1330974-1330989:+
YDR458C,chrIV:1343374-1343418:-
YDR459C,chrIV:1344829-1344866:-
YDR460W,chrIV:1344975-1345034:+
YDR461C-A,chrIV:1347070-1347149:-
YDR462W,chrIV:1347324-1347380:+
YDR463W,chrIV:1348078-1348122:+
YDL190C,chrIV:135334-135407:-
YDL189W,chrIV:135560-135637:+
YDR465C,chrIV:1355899-1355967:-
YDR466W,chrIV:1356329-1356359:+
YDR468C,chrIV:1360075-1360190:-
YDR469W,chrIV:1360270-1360351:+
