parent	uorf_number	positions	length	rate
YBL039W-B	4	20, 41, 99, 407	501	0.023952095808383235
YBL039C	5	59, 92, 151, 227, 441	501	0.029940119760479042
YBL038W	8	42, 71, 177, 188, 234, 249, 254, 405	501	0.04790419161676647
YBL037W	12	30, 36, 45, 102, 189, 195, 291, 299, 350, 356, 376, 440	501	0.0718562874251497
YBL035C	9	17, 82, 89, 155, 170, 300, 311, 317, 432	501	0.05389221556886228
YBL034C	8	3, 51, 86, 170, 254, 342, 358, 369	501	0.04790419161676647
YBL033C	7	36, 55, 84, 128, 143, 160, 174	501	0.041916167664670656
YBL032W	5	92, 122, 141, 332, 345	501	0.029940119760479042
YBL031W	11	64, 136, 222, 270, 280, 296, 302, 313, 440, 466, 492	501	0.0658682634730539
YBL030C	10	40, 66, 164, 178, 255, 275, 300, 307, 334, 380	501	0.059880239520958084
YBL029C-A	13	8, 12, 63, 118, 123, 192, 216, 274, 293, 336, 373, 433, 477	501	0.07784431137724551
YBL029W	6	41, 74, 201, 259, 273, 390	501	0.03592814371257485
YBL028C	9	31, 50, 92, 99, 150, 258, 336, 427, 490	501	0.05389221556886228
YBL026W	4	47, 188, 285, 423	501	0.023952095808383235
YBL025W	16	58, 103, 126, 141, 199, 205, 213, 227, 346, 393, 418, 427, 439, 444, 449, 479	501	0.09580838323353294
YBL024W	10	14, 30, 51, 67, 71, 109, 140, 261, 274, 353	501	0.059880239520958084
YBL023C	12	36, 60, 102, 129, 157, 183, 218, 313, 317, 333, 365, 445	501	0.0718562874251497
YBL022C	15	4, 60, 137, 202, 206, 281, 332, 336, 374, 383, 388, 392, 414, 417, 462	501	0.08982035928143713
YBL021C	3	110, 146, 381	501	0.017964071856287425
YBL020W	6	46, 70, 124, 145, 252, 437	501	0.03592814371257485
YBL019W	6	180, 265, 308, 393, 402, 405	501	0.03592814371257485
YBL018C	7	29, 32, 89, 116, 281, 351, 383	501	0.041916167664670656
YBL017C	11	7, 94, 144, 232, 246, 284, 288, 340, 352, 464, 467	501	0.0658682634730539
YBL015W	10	5, 39, 47, 101, 180, 262, 357, 361, 402, 439	501	0.059880239520958084
YBL014C	9	89, 176, 254, 306, 367, 395, 450, 474, 483	501	0.05389221556886228
YBL010C	8	32, 60, 170, 174, 186, 301, 317, 398	501	0.04790419161676647
YBL009W	4	22, 27, 79, 251	501	0.023952095808383235
YBL008W	7	118, 169, 210, 235, 300, 311, 317	501	0.041916167664670656
YBL007C	11	12, 30, 60, 130, 156, 256, 315, 335, 355, 410, 467	501	0.0658682634730539
YBL006C	10	50, 87, 100, 148, 229, 251, 308, 447, 459, 479	501	0.059880239520958084
YBL005W	8	30, 88, 158, 386, 411, 419, 447, 455	501	0.04790419161676647
YBL003C	10	31, 110, 218, 308, 346, 352, 356, 378, 421, 424	501	0.059880239520958084
YBL002W	9	34, 53, 89, 108, 123, 159, 305, 401, 408	501	0.05389221556886228
YBL001C	5	7, 94, 213, 219, 356	501	0.029940119760479042
YBR001C	11	0, 5, 76, 91, 159, 182, 195, 233, 269, 388, 401	501	0.0658682634730539
YBR002C	15	76, 89, 114, 138, 143, 207, 234, 248, 253, 307, 349, 413, 424, 433, 460	501	0.08982035928143713
YBR003W	8	176, 179, 190, 210, 219, 233, 258, 262	501	0.04790419161676647
YBR004C	10	23, 41, 55, 167, 176, 179, 216, 260, 317, 351	501	0.059880239520958084
YBR005W	11	31, 38, 106, 140, 168, 252, 258, 396, 409, 412, 494	501	0.0658682634730539
YBR006W	6	52, 154, 164, 407, 435, 487	501	0.03592814371257485
YBR008C	13	19, 31, 77, 174, 244, 258, 282, 349, 352, 374, 429, 442, 456	501	0.07784431137724551
YBR009C	10	124, 148, 152, 160, 168, 282, 321, 388, 454, 457	501	0.059880239520958084
YBR010W	6	47, 51, 136, 166, 174, 364	501	0.03592814371257485
YBR011C	10	13, 21, 54, 74, 154, 175, 237, 243, 365, 368	501	0.059880239520958084
YBR014C	11	55, 91, 119, 175, 202, 279, 300, 332, 347, 357, 460	501	0.0658682634730539
YBR015C	8	81, 175, 182, 190, 263, 271, 389, 415	501	0.04790419161676647
YBR016W	5	66, 100, 121, 327, 442	501	0.029940119760479042
YBR017C	11	8, 67, 131, 143, 154, 317, 353, 370, 434, 446, 470	501	0.0658682634730539
YBR021W	9	29, 76, 222, 239, 302, 313, 365, 439, 442	501	0.05389221556886228
YBR022W	14	54, 62, 68, 107, 119, 224, 231, 308, 372, 423, 441, 448, 470, 475	501	0.08383233532934131
YBR023C	7	50, 205, 228, 255, 261, 301, 422	501	0.041916167664670656
YBR024W	7	148, 245, 355, 365, 386, 389, 464	501	0.041916167664670656
YBR025C	5	181, 205, 242, 338, 355	501	0.029940119760479042
YBR026C	9	28, 35, 97, 222, 295, 299, 324, 370, 476	501	0.05389221556886228
YBR028C	11	46, 158, 221, 229, 255, 289, 305, 350, 358, 387, 443	501	0.0658682634730539
YBR029C	9	1, 69, 176, 246, 359, 409, 414, 419, 455	501	0.05389221556886228
YBR030W	12	29, 50, 129, 133, 143, 179, 224, 352, 366, 413, 478, 493	501	0.0718562874251497
YBR031W	6	39, 232, 242, 285, 319, 423	501	0.03592814371257485
YBR033W	9	61, 68, 76, 82, 103, 199, 319, 456, 470	501	0.05389221556886228
YBR034C	14	13, 76, 92, 169, 209, 233, 247, 259, 315, 346, 364, 400, 434, 457	501	0.08383233532934131
YBR035C	6	218, 304, 311, 384, 452, 465	501	0.03592814371257485
YBR036C	10	64, 80, 171, 196, 214, 217, 262, 299, 336, 463	501	0.059880239520958084
YBR037C	5	86, 117, 168, 262, 476	501	0.029940119760479042
YBR038W	4	154, 317, 349, 423	501	0.023952095808383235
YBR039W	12	65, 69, 186, 276, 310, 313, 347, 374, 388, 399, 466, 474	501	0.0718562874251497
YBR041W	12	31, 69, 81, 88, 179, 197, 258, 263, 316, 370, 409, 445	501	0.0718562874251497
YBR042C	8	0, 126, 138, 149, 162, 360, 398, 466	501	0.04790419161676647
YBR043C	7	2, 12, 80, 149, 240, 448, 481	501	0.041916167664670656
YBR044C	9	57, 130, 202, 249, 306, 349, 358, 425, 438	501	0.05389221556886228
YBR045C	2	33, 290	501	0.011976047904191617
YBR046C	9	3, 38, 48, 88, 196, 218, 249, 271, 327	501	0.05389221556886228
YBR047W	8	39, 83, 138, 197, 264, 426, 445, 474	501	0.04790419161676647
YBR049C	4	8, 188, 358, 421	501	0.023952095808383235
YBR050C	7	118, 183, 255, 417, 476, 481, 491	501	0.041916167664670656
YBR052C	11	2, 70, 114, 129, 156, 198, 251, 263, 285, 301, 313	501	0.0658682634730539
YBR053C	11	90, 98, 169, 235, 340, 359, 417, 434, 444, 450, 481	501	0.0658682634730539
YBR054W	9	125, 129, 148, 186, 294, 307, 336, 402, 423	501	0.05389221556886228
YBR055C	10	44, 99, 102, 114, 142, 226, 311, 316, 319, 344	501	0.059880239520958084
YBR056W	7	67, 168, 230, 380, 392, 419, 423	501	0.041916167664670656
YBR057C	12	2, 107, 141, 164, 199, 209, 234, 299, 305, 377, 457, 476	501	0.0718562874251497
YBR058C	11	34, 123, 151, 216, 292, 376, 391, 406, 428, 456, 468	501	0.0658682634730539
YBR058C-A	7	8, 121, 184, 261, 382, 405, 478	501	0.041916167664670656
YBR059C	12	17, 37, 64, 94, 122, 169, 246, 301, 329, 381, 444, 462	501	0.0718562874251497
YBR060C	9	12, 224, 231, 246, 286, 314, 321, 405, 439	501	0.05389221556886228
YBR061C	11	80, 168, 177, 188, 193, 212, 256, 366, 369, 455, 487	501	0.0658682634730539
YBR063C	6	87, 170, 189, 309, 316, 401	501	0.03592814371257485
YBR065C	11	61, 91, 121, 170, 358, 382, 424, 429, 457, 460, 463	501	0.0658682634730539
YBR066C	6	186, 196, 310, 429, 441, 464	501	0.03592814371257485
YBR068C	13	31, 119, 198, 201, 220, 233, 285, 290, 312, 326, 368, 382, 428	501	0.07784431137724551
YBR069C	9	32, 55, 62, 98, 225, 299, 373, 407, 432	501	0.05389221556886228
YBR070C	5	90, 201, 223, 413, 443	501	0.029940119760479042
YBR071W	8	48, 62, 72, 95, 173, 186, 286, 340	501	0.04790419161676647
YBR072W	10	31, 54, 81, 108, 173, 234, 254, 331, 344, 360	501	0.059880239520958084
YBR073W	12	87, 102, 153, 161, 201, 297, 301, 315, 319, 375, 472, 483	501	0.0718562874251497
YBR074W	11	11, 15, 33, 36, 64, 105, 117, 190, 205, 217, 448	501	0.0658682634730539
YBR076W	6	64, 76, 246, 285, 435, 472	501	0.03592814371257485
YBR077C	8	112, 191, 291, 356, 361, 365, 392, 459	501	0.04790419161676647
YBR078W	5	77, 136, 141, 359, 419	501	0.029940119760479042
YBR079C	9	12, 37, 61, 91, 139, 171, 205, 273, 384	501	0.05389221556886228
YBR080C	13	30, 33, 86, 90, 93, 102, 113, 163, 244, 262, 315, 377, 430	501	0.07784431137724551
YBR081C	15	40, 56, 71, 75, 99, 172, 189, 269, 305, 343, 399, 437, 448, 472, 479	501	0.08982035928143713
YBR082C	8	40, 85, 96, 143, 146, 162, 273, 310	501	0.04790419161676647
YBR083W	9	75, 179, 254, 280, 321, 342, 448, 475, 481	501	0.05389221556886228
YBR084W	9	72, 89, 161, 182, 252, 256, 326, 386, 404	501	0.05389221556886228
YBR085W	9	50, 181, 190, 256, 264, 272, 276, 293, 479	501	0.05389221556886228
YBR085C-A	9	18, 26, 48, 55, 103, 159, 182, 234, 278	501	0.05389221556886228
YBR086C	7	15, 62, 67, 97, 113, 129, 217	501	0.041916167664670656
YBR087W	13	49, 96, 221, 252, 264, 320, 327, 344, 357, 363, 471, 474, 481	501	0.07784431137724551
YBR088C	6	47, 104, 133, 197, 254, 283	501	0.03592814371257485
YBR089C-A	9	95, 145, 178, 273, 276, 301, 325, 352, 375	501	0.05389221556886228
YBR091C	7	16, 84, 122, 179, 194, 389, 429	501	0.041916167664670656
YBR092C	7	171, 175, 276, 316, 410, 442, 455	501	0.041916167664670656
YBR093C	12	25, 35, 61, 76, 86, 208, 315, 349, 432, 453, 477, 492	501	0.0718562874251497
YBR094W	9	29, 147, 225, 240, 246, 272, 307, 387, 454	501	0.05389221556886228
YBR095C	4	126, 147, 330, 455	501	0.023952095808383235
YBR096W	4	60, 154, 298, 398	501	0.023952095808383235
YBR097W	7	35, 42, 55, 90, 152, 179, 431	501	0.041916167664670656
YBR098W	13	50, 71, 94, 107, 193, 208, 236, 254, 279, 290, 382, 470, 496	501	0.07784431137724551
YBR101C	7	51, 54, 59, 102, 218, 221, 359	501	0.041916167664670656
YBR102C	9	59, 111, 117, 203, 351, 382, 436, 446, 479	501	0.05389221556886228
YBR103W	10	47, 190, 236, 328, 421, 457, 467, 475, 489, 496	501	0.059880239520958084
YBR104W	9	46, 58, 118, 140, 234, 299, 383, 396, 470	501	0.05389221556886228
YBR105C	6	34, 57, 79, 82, 294, 492	501	0.03592814371257485
YBR106W	6	0, 15, 20, 25, 260, 416	501	0.03592814371257485
YBR107C	12	198, 228, 254, 282, 295, 311, 330, 333, 415, 429, 455, 472	501	0.0718562874251497
YBR108W	8	14, 50, 122, 131, 282, 307, 447, 480	501	0.04790419161676647
YBR109C	11	62, 84, 115, 131, 142, 171, 248, 299, 307, 354, 382	501	0.0658682634730539
YBR110W	6	236, 284, 291, 310, 333, 370	501	0.03592814371257485
YBR111W-A	11	22, 37, 152, 282, 298, 340, 430, 442, 452, 466, 484	501	0.0658682634730539
YBR115C	9	90, 154, 184, 188, 195, 386, 405, 411, 426	501	0.05389221556886228
YBR117C	10	52, 91, 139, 148, 153, 197, 221, 243, 249, 417	501	0.059880239520958084
YBR118W	3	80, 249, 264	501	0.017964071856287425
YBR119W	5	102, 159, 308, 397, 496	501	0.029940119760479042
YBR120C	10	30, 63, 147, 178, 212, 220, 262, 268, 390, 400	501	0.059880239520958084
YBR121C	6	170, 263, 274, 281, 298, 309	501	0.03592814371257485
YBR123C	10	4, 100, 142, 251, 277, 283, 289, 295, 301, 357	501	0.059880239520958084
YBR125C	7	24, 108, 163, 172, 178, 262, 416	501	0.041916167664670656
YBR126C	4	52, 87, 410, 426	501	0.023952095808383235
YBR126W-A	5	51, 69, 240, 335, 488	501	0.029940119760479042
YBR127C	14	26, 60, 71, 91, 97, 114, 132, 171, 183, 198, 265, 272, 329, 460	501	0.08383233532934131
YBR128C	11	13, 27, 143, 150, 183, 221, 296, 302, 305, 311, 406	501	0.0658682634730539
YBR129C	8	12, 165, 180, 266, 296, 357, 433, 463	501	0.04790419161676647
YBR130C	10	1, 92, 112, 130, 133, 183, 233, 309, 332, 474	501	0.059880239520958084
YBR131W	9	101, 114, 127, 197, 335, 358, 376, 439, 450	501	0.05389221556886228
YBR132C	9	128, 201, 216, 252, 404, 441, 448, 460, 479	501	0.05389221556886228
YBR133C	9	54, 148, 152, 193, 378, 430, 443, 449, 465	501	0.05389221556886228
YBR135W	9	10, 16, 51, 403, 431, 447, 458, 462, 477	501	0.05389221556886228
YBR136W	6	160, 242, 254, 412, 480, 487	501	0.03592814371257485
YBR137W	10	59, 69, 83, 87, 104, 119, 186, 263, 395, 421	501	0.059880239520958084
YBR138C	6	196, 210, 260, 300, 307, 384	501	0.03592814371257485
YBR139W	5	123, 312, 327, 356, 414	501	0.029940119760479042
YBR140C	10	10, 36, 58, 86, 135, 147, 270, 462, 486, 494	501	0.059880239520958084
YBR141C	10	240, 243, 258, 295, 298, 304, 307, 338, 456, 476	501	0.059880239520958084
YBR142W	3	155, 263, 429	501	0.017964071856287425
YBR143C	8	26, 35, 38, 105, 212, 256, 364, 406	501	0.04790419161676647
YBR145W	13	0, 30, 43, 74, 128, 147, 175, 206, 239, 322, 336, 344, 492	501	0.07784431137724551
YBR146W	10	79, 107, 126, 148, 217, 367, 372, 385, 403, 478	501	0.059880239520958084
YBR147W	11	0, 4, 132, 140, 219, 309, 411, 443, 451, 475, 486	501	0.0658682634730539
YBR148W	7	37, 73, 182, 305, 345, 397, 455	501	0.041916167664670656
YBR150C	5	94, 142, 398, 411, 492	501	0.029940119760479042
YBR151W	10	22, 71, 79, 221, 258, 264, 392, 460, 492, 495	501	0.059880239520958084
YBR152W	5	11, 234, 278, 284, 438	501	0.029940119760479042
YBR153W	10	13, 22, 53, 130, 153, 169, 298, 391, 409, 447	501	0.059880239520958084
YBR154C	5	13, 203, 305, 332, 384	501	0.029940119760479042
YBR155W	9	61, 87, 139, 196, 236, 267, 321, 418, 447	501	0.05389221556886228
YBR156C	11	24, 45, 55, 209, 270, 285, 292, 313, 353, 388, 484	501	0.0658682634730539
YBR158W	3	155, 178, 273	501	0.017964071856287425
YBR159W	9	4, 20, 44, 55, 168, 318, 370, 379, 457	501	0.05389221556886228
YBR160W	8	4, 31, 115, 343, 350, 367, 387, 433	501	0.04790419161676647
YBR161W	4	4, 58, 93, 173	501	0.023952095808383235
YBR162C	5	27, 32, 76, 287, 293	501	0.029940119760479042
YBR162W-A	8	42, 93, 127, 189, 221, 367, 384, 464	501	0.04790419161676647
YBR163W	8	61, 114, 148, 308, 426, 430, 442, 474	501	0.04790419161676647
YBR164C	10	83, 98, 110, 137, 287, 309, 318, 327, 354, 476	501	0.059880239520958084
YBR165W	6	13, 61, 151, 262, 402, 479	501	0.03592814371257485
YBR166C	10	38, 55, 155, 190, 200, 209, 269, 278, 390, 424	501	0.059880239520958084
YBR167C	10	79, 82, 127, 273, 279, 284, 296, 344, 358, 384	501	0.059880239520958084
YBR168W	10	27, 70, 90, 244, 269, 293, 298, 313, 324, 470	501	0.059880239520958084
YBR169C	8	54, 121, 153, 157, 212, 278, 319, 488	501	0.04790419161676647
YBR170C	5	58, 80, 84, 170, 426	501	0.029940119760479042
YBR171W	11	32, 91, 126, 173, 261, 337, 360, 433, 446, 457, 462	501	0.0658682634730539
YBR172C	8	22, 61, 73, 79, 214, 224, 396, 469	501	0.04790419161676647
YBR173C	18	8, 44, 48, 73, 84, 131, 136, 171, 186, 291, 304, 318, 322, 362, 379, 411, 455, 483	501	0.10778443113772455
YBR175W	10	32, 96, 108, 112, 168, 195, 272, 380, 419, 492	501	0.059880239520958084
YBR176W	12	33, 55, 85, 91, 145, 177, 204, 223, 239, 245, 267, 421	501	0.0718562874251497
YBR177C	8	106, 155, 183, 278, 312, 364, 396, 447	501	0.04790419161676647
YBR179C	10	102, 123, 134, 144, 172, 184, 235, 398, 410, 441	501	0.059880239520958084
YBR180W	5	9, 56, 253, 416, 442	501	0.029940119760479042
YBR182C	5	20, 73, 243, 415, 438	501	0.029940119760479042
YBR183W	5	51, 115, 268, 332, 364	501	0.029940119760479042
YBR184W	9	6, 28, 114, 138, 258, 295, 307, 375, 452	501	0.05389221556886228
YBR186W	6	14, 48, 135, 267, 371, 428	501	0.03592814371257485
YBR187W	10	92, 101, 197, 254, 297, 320, 355, 404, 457, 475	501	0.059880239520958084
